Metric,Comparison,Mean Delta,95% CI Lower,95% CI Upper,Improved Seeds,Total Seeds,Min Delta,Max Delta,Paired t-test p,Wilcoxon p
Test_Macro_F1,real - shuffled,0.004142535671112487,0.00162956513174524,0.006655506210479734,21,30,-0.009246933166889848,0.017491159784905785,0.0021330698637138067,0.0027663204818964005
Test_Macro_F1,real - class_randomized,0.005823413259589431,0.002939084959548026,0.008707741559630836,21,30,-0.005678713304731575,0.023996908133465222,0.00028132056749290244,0.0007978975772857666
Test_Macro_F1,shuffled - class_randomized,0.0016808775884769441,-0.0008852556563470801,0.004247010833300969,18,30,-0.02316987308963736,0.01403415628080562,0.19075596492576302,0.08793856762349606
Test_Accuracy,real - shuffled,0.00407604386151705,0.0015716421909251635,0.006580445532108937,21,30,-0.008577194752774964,0.016683518705763345,0.00238328204135857,0.004113043966076222
Test_Accuracy,real - class_randomized,0.005843968472198291,0.0029169212407957517,0.00877101570360083,20,30,-0.0065689742294088305,0.023761375126390316,0.0003188591435001734,0.0013220986971835885
Test_Accuracy,shuffled - class_randomized,0.0017679246106812412,-0.0008384074781139746,0.004374256699476457,17,30,-0.023244062657908127,0.014155712841253831,0.17591490370214408,0.06413381958461438
Best_Val_Macro_F1,real - shuffled,0.004588226489535759,0.0028948171049655753,0.006281635874105943,26,30,-0.001985880384544836,0.014918749213748472,5.640266461540424e-06,1.991167664527893e-06
Best_Val_Macro_F1,real - class_randomized,0.0055743889074647,0.003689781643865169,0.007458996171064231,27,30,-0.0037952984905286202,0.021413260449981597,1.3907028202520469e-06,3.1478703022003174e-07
Best_Val_Macro_F1,shuffled - class_randomized,0.000986162417928941,-0.0002658041245177437,0.002238128960375626,18,30,-0.0063472387546724685,0.009562214756357212,0.11801020780217031,0.11907656863331795
