Metric,Mean +/- Std,95% CI,Min,Max,CV %
Test Macro F1,0.8505 +/- 0.0074,"[0.8477, 0.8533]",0.8392,0.8673,0.87
Test Accuracy,84.9835 +/- 0.7255,"[84.7080, 85.2591]",83.8547,86.6868,0.85
Test Macro Precision,0.8523 +/- 0.0082,"[0.8492, 0.8554]",0.8373,0.8698,0.96
Test Macro Recall,0.8508 +/- 0.0069,"[0.8482, 0.8534]",0.8416,0.8658,0.81
Best Val Macro F1,0.8561 +/- 0.0063,"[0.8537, 0.8585]",0.8403,0.8689,0.74
Best Val Accuracy,85.5124 +/- 0.6368,"[85.2706, 85.7543]",83.897,86.7744,0.74
Val Loss At Best Epoch,0.6486 +/- 0.0924,"[0.6134, 0.6837]",0.49,0.8188,14.25
Min Val Loss,0.4871 +/- 0.0189,"[0.4799, 0.4943]",0.4509,0.5258,3.88
Training Time (min),2.5083 +/- 0.5331,"[2.3058, 2.7107]",1.5365,3.4423,21.25
