Style,Mean,Std,Min,Max,95% CI Lower,95% CI Upper,N
conservative,0.7829736211031174,0.04677488616543232,0.6906474820143885,0.8776978417266187,0.7652090053264222,0.8007382368798126,30
dressy,0.9676543209876544,0.016395136099786673,0.9333333333333333,0.9925925925925926,0.9614276186416725,0.9738810233336362,30
ethnic,0.891214470284238,0.028900165595951214,0.8217054263565892,0.9612403100775194,0.8802384876622994,0.9021904529061765,30
fairy,0.9601851851851851,0.01642703240667609,0.9236111111111112,0.9930555555555556,0.9539463689532478,0.9664240014171225,30
feminine,0.7866120218579236,0.04426651130158623,0.6967213114754098,0.9016393442622951,0.7698000607926166,0.8034239829232305,30
gal,0.8764568764568765,0.033260716049859154,0.7692307692307693,0.9230769230769231,0.8638248020784643,0.8890889508352887,30
girlish,0.7082329317269076,0.05405337538811554,0.5843373493975904,0.8253012048192772,0.6877040213666088,0.7287618420872064,30
kireime-casual,0.7358649789029538,0.048777539296602286,0.6455696202531646,0.879746835443038,0.7173397762745151,0.7543901815313925,30
lolita,0.9629169783093324,0.014936604738257774,0.9299363057324841,0.9875,0.9572442110203848,0.96858974559828,30
mode,0.8341769896044653,0.039835028031793215,0.7151898734177216,0.8924050632911392,0.8190480598421165,0.8493059193668141,30
natural,0.8581986821959755,0.04059241131344545,0.7734375,0.953125,0.842782106132433,0.873615258259518,30
retro,0.8086469024705245,0.048783496331867154,0.696,0.92,0.7901194374219855,0.8271743675190635,30
rock,0.8406291910703676,0.04068405331534559,0.7603305785123967,0.9173553719008265,0.8251778103266596,0.8560805718140756,30
street,0.8977423864839786,0.0249306262512947,0.8496732026143791,0.9403973509933775,0.8882739936618077,0.9072107793061496,30
