Style,Test_F1_Mean,Test_F1_Std,Test_Precision_Mean,Test_Precision_Std,Test_Recall_Mean,Test_Recall_Std,Test_Accuracy_Mean,Test_Accuracy_Std
conservative,0.789625239920828,0.02585581381626994,0.7989090446019349,0.032656819007807356,0.7829736211031174,0.04677488616543232,0.7829736211031174,0.04677488616543232
dressy,0.9645849454043541,0.012502836377418215,0.9618625032923933,0.018760569549189525,0.9676543209876544,0.016395136099786673,0.9676543209876544,0.016395136099786673
ethnic,0.8870075514710795,0.02074222593487718,0.884298674751686,0.03631075889257217,0.891214470284238,0.028900165595951214,0.891214470284238,0.028900165595951214
fairy,0.9571047274914357,0.01267936696549499,0.9543479403883837,0.01853595698654603,0.9601851851851851,0.01642703240667609,0.9601851851851851,0.01642703240667609
feminine,0.7823254198342227,0.026937563753873392,0.7807886426705682,0.040112893030802496,0.7866120218579236,0.04426651130158623,0.7866120218579236,0.04426651130158623
gal,0.8697483000493073,0.01883182503899903,0.8651388504388284,0.035663840568644765,0.8764568764568765,0.033260716049859154,0.8764568764568765,0.033260716049859154
girlish,0.7178170933939232,0.027556633863409227,0.7316940332467367,0.0353453784675357,0.7082329317269076,0.05405337538811554,0.7082329317269076,0.05405337538811554
kireime-casual,0.7313182735523361,0.027661492584382566,0.7292135089264883,0.03137124201960674,0.7358649789029538,0.048777539296602286,0.7358649789029538,0.048777539296602286
lolita,0.9631425870864746,0.010272102872751451,0.9636493082310104,0.015983986951706778,0.9629169783093324,0.014936604738257774,0.9629169783093324,0.014936604738257774
mode,0.8243976417106594,0.028049342711608236,0.8165150581821341,0.03605704485856385,0.8341769896044653,0.039835028031793215,0.8341769896044653,0.039835028031793215
natural,0.8521696327834488,0.02150786545451713,0.8486951248887327,0.03769733774377912,0.8581986821959755,0.04059241131344545,0.8581986821959755,0.04059241131344545
retro,0.828536797354124,0.02351476184394929,0.8531505208398951,0.039230485791716535,0.8086469024705245,0.048783496331867154,0.8086469024705245,0.048783496331867154
rock,0.8387775183498373,0.020975897921908432,0.8394626729246567,0.03623260748653004,0.8406291910703676,0.04068405331534559,0.8406291910703676,0.04068405331534559
street,0.900685480027136,0.017941055675610232,0.9045769067312719,0.029018595057109686,0.8977423864839786,0.0249306262512947,0.8977423864839786,0.0249306262512947
