Seed,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Best_Val_Accuracy,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min
13,20,False,0.8229338085238299,82.40040342914776,0.815770184609309,81.70793329964629,0.8161070151092181,0.8199089895304483,False,3.185520319143931
14,19,False,0.826114494222679,82.68551236749117,0.8158139990168166,81.63471241170535,0.8159426811830122,0.8203288852169293,False,3.1706129988034566
16,20,False,0.811421861607494,81.2246963562753,0.8058743834665055,80.72653884964681,0.80614327152408,0.8117797977770608,False,3.149910525480906
17,20,False,0.8122203107687381,81.34479271991911,0.8102262860120142,81.05103587670541,0.810227919523744,0.8149304059604391,False,3.1752251744270326
45,20,False,0.8180642737402077,81.88259109311741,0.8214853016238459,82.15369059656219,0.8223771684556251,0.8241517202393002,False,3.177327072620392
48,19,False,0.8222533448770514,82.23119636547199,0.8012510499775084,80.20202020202021,0.8007019662278111,0.8058652143835277,False,3.1757839719454446
53,20,False,0.8073595908982902,80.86824835941444,0.8181243402887286,81.94233687405159,0.8200290071797206,0.8215683168167159,False,3.216304397583008
58,18,False,0.8014555489127232,80.15151515151516,0.8155490683952583,81.74924165824065,0.8161512305292435,0.8225729791787397,False,3.203078027566274
72,20,False,0.8137036896277283,81.37304391721352,0.8120066431218564,81.34140191628845,0.813898190183863,0.8169464588935211,False,3.201694297790527
102,19,False,0.8212006404357668,82.22222222222223,0.8192715687702904,81.89611699445285,0.8188135533875467,0.8221344396470952,False,3.160397505760193
112,20,False,0.8199125564619646,81.95146612740142,0.8173071020043203,81.80443548387096,0.817219449866471,0.821685526235948,False,3.1870848059654238
115,20,False,0.8296415488850817,83.06370070778564,0.8252516952919093,82.51642243557352,0.8252709376438595,0.827707752320137,False,3.1791987379391986
120,20,False,0.8202557570083429,81.95146612740142,0.8107981103929643,81.25315816068722,0.8108411732051138,0.8156586705521941,False,3.1765524546305337
126,20,False,0.8123076761350693,81.26262626262626,0.8143674055473266,81.36363636363636,0.8153510974361137,0.8171047289427716,False,3.1780370155970257
141,20,False,0.8086844821626898,80.95959595959596,0.8118360652415096,81.2753036437247,0.8130795354221451,0.8162937816288972,False,3.182331105073293
215,20,False,0.8064433685823696,80.68756319514661,0.8186215552087484,81.94654563792234,0.8193475535767768,0.8223691038041719,False,3.163977579275767
217,20,False,0.8194729842656034,81.96969696969697,0.8121057681578978,81.2720848056537,0.8128726122898036,0.817943376289333,False,3.1545995235443116
259,19,False,0.8320618370462184,83.19030792529026,0.810080078862106,81.01010101010101,0.8137485861405043,0.812513615150111,False,3.1841793934504192
280,20,False,0.8033592974984487,80.34360788276908,0.8167834905235851,81.72640080767289,0.8159969387569193,0.8192434769403691,False,3.1780481060345966
288,19,False,0.8139069924110203,81.45528044466903,0.8150729174544429,81.4459049544995,0.8155210900029145,0.8195672639204913,False,3.170521370569865
303,20,False,0.8101773429095159,81.06060606060606,0.8263075912925044,82.66801414855988,0.8255778238774631,0.830112402251261,False,3.1928756197293597
309,19,False,0.8185352454230969,81.95146612740142,0.8125449346074829,81.33198789101917,0.8121622494038455,0.8172806663040577,False,3.189825403690338
328,20,False,0.816748576878939,81.70793329964629,0.8213253327347981,82.21323900960081,0.821785934619519,0.8264760169715775,False,3.2069844404856362
333,20,False,0.8010480073246293,80.20202020202021,0.8103095544948804,81.13302984319677,0.8107907887430497,0.8144134584765943,False,3.1903977235158285
347,19,False,0.8091595637868924,80.84891359272359,0.8203794002244678,82.15369059656219,0.8218514291787763,0.8246276069454289,False,3.164065416653951
360,18,False,0.8202127937615495,81.97879858657244,0.8017380218724639,80.31297324583544,0.8013640893632105,0.8064364910452608,False,3.199334136644999
367,20,False,0.8088648167338448,80.96920747097425,0.8170459192986975,81.79979777553083,0.8173282516579103,0.8209528533026603,False,3.2165303349494936
378,19,False,0.8140501541830216,81.45528044466903,0.8039604658563896,80.5050505050505,0.8046486819731891,0.808083885229772,False,3.1905479470888776
380,20,False,0.812411303068994,81.2216052498738,0.8219942700709675,82.30535894843275,0.8230697484014046,0.8258160068902554,False,3.2008103489875794
457,19,False,0.8278673146953587,82.84412955465586,0.811799146325617,81.32256436143362,0.8125229609676311,0.8174794421962643,False,3.181049581368764
