style,f1_mean,f1_std,precision_mean,recall_mean,acc_mean
conservative,0.694227745707169,0.027986026448246288,0.6893648409497009,0.7083765294968087,0.7083765294968087
dressy,0.940122049830108,0.020500398418306955,0.9535050761800673,0.9288207112585222,0.9288207112585222
ethnic,0.8138867715743665,0.03286364549008815,0.828789457892484,0.8069767441860466,0.8069767441860466
fairy,0.9253380320177141,0.022124096322366053,0.9255634619466686,0.9272792022792024,0.9272792022792024
feminine,0.7291532129000344,0.03273345831939501,0.7372903854732965,0.7347107438016529,0.7347107438016529
gal,0.7714449527624931,0.0238377262371769,0.7912402402032623,0.7596736596736596,0.7596736596736596
girlish,0.6147851696442006,0.034925726502276135,0.6349093892769101,0.606425702811245,0.606425702811245
kireime-casual,0.647953764638571,0.02404546129330601,0.6306811450381421,0.6761603375527426,0.6761603375527426
lolita,0.9499965857940801,0.010400059240245764,0.9446551604921927,0.9563508909853249,0.9563508909853249
mode,0.7672883535055879,0.030639627825087265,0.7717426671268016,0.7740041928721175,0.7740041928721175
natural,0.767873334146951,0.033947252781865854,0.8057543368260786,0.7436692506459951,0.7436692506459951
retro,0.7160464450577165,0.02971968536852328,0.7307061464508745,0.7123359580052492,0.7123359580052492
rock,0.7715392358543042,0.024796496309442275,0.7563492804176283,0.7933771395023257,0.7933771395023257
street,0.8168987844295348,0.02591761556017885,0.8468531685246595,0.7944458591517416,0.7944458591517416
