class_a,class_b,a_to_b,b_to_a,symmetric_total,symmetric_rate
conservative,kireime-casual,240,271,511,0.025782038345105954
feminine,girlish,219,189,408,0.02058526740665994
mode,rock,201,187,388,0.019576185671039355
conservative,girlish,175,107,282,0.014228052472250253
gal,girlish,152,126,278,0.014026236125126134
rock,street,123,154,277,0.013975782038345106
ethnic,retro,176,93,269,0.013572149344096871
kireime-casual,natural,122,138,260,0.013118062563067608
girlish,retro,109,144,253,0.012764883955600404
girlish,kireime-casual,92,147,239,0.012058526740665994
feminine,gal,112,117,229,0.011553985872855702
girlish,natural,85,107,192,0.009687184661957619
fairy,lolita,86,96,182,0.009182643794147327
conservative,natural,69,110,179,0.009031281533804237
gal,street,82,88,170,0.008577194752774974
kireime-casual,mode,99,62,161,0.008123107971745711
mode,street,57,92,149,0.00751765893037336
conservative,mode,81,56,137,0.006912209889001009
retro,street,57,72,129,0.006508577194752775
conservative,feminine,49,71,120,0.006054490413723511
ethnic,girlish,86,33,119,0.0060040363269424826
lolita,retro,65,46,111,0.005600403632694248
girlish,street,41,67,108,0.00544904137235116
ethnic,natural,60,39,99,0.004994954591321897
natural,retro,44,51,95,0.00479313824419778
ethnic,street,44,50,94,0.004742684157416751
feminine,retro,53,40,93,0.004692230070635722
dressy,lolita,68,24,92,0.004641775983854692
mode,retro,44,48,92,0.004641775983854692
dressy,retro,57,32,89,0.004490413723511604
dressy,mode,54,35,89,0.004490413723511604
conservative,retro,41,42,83,0.004187689202825429
gal,kireime-casual,51,31,82,0.004137235116044399
kireime-casual,rock,40,37,77,0.0038849646821392534
feminine,natural,35,41,76,0.003834510595358224
conservative,gal,30,44,74,0.0037336024217961656
girlish,mode,38,35,73,0.003683148335015136
gal,retro,40,33,73,0.003683148335015136
fairy,gal,41,31,72,0.003632694248234107
fairy,girlish,31,37,68,0.0034308779011099897
dressy,girlish,34,28,62,0.0031281533804238142
conservative,street,28,34,62,0.0031281533804238142
kireime-casual,street,30,29,59,0.0029767911200807265
dressy,feminine,25,34,59,0.0029767911200807265
gal,rock,26,32,58,0.0029263370332996974
ethnic,kireime-casual,37,21,58,0.0029263370332996974
ethnic,rock,27,27,54,0.00272452068617558
ethnic,gal,39,14,53,0.002674066599394551
gal,mode,27,26,53,0.002674066599394551
feminine,lolita,14,38,52,0.0026236125126135215
lolita,rock,37,12,49,0.0024722502522704338
fairy,feminine,34,12,46,0.002320887991927346
fairy,retro,27,18,45,0.002270433905146317
ethnic,mode,25,18,43,0.0021695257315842583
ethnic,feminine,31,12,43,0.0021695257315842583
dressy,ethnic,15,26,41,0.0020686175580221997
gal,lolita,15,25,40,0.0020181634712411706
lolita,street,28,12,40,0.0020181634712411706
dressy,gal,25,15,40,0.0020181634712411706
kireime-casual,retro,12,26,38,0.001917255297679112
mode,natural,16,19,35,0.0017658930373360242
retro,rock,20,15,35,0.0017658930373360242
feminine,kireime-casual,6,27,33,0.0016649848637739658
conservative,ethnic,13,19,32,0.0016145307769929364
gal,natural,16,16,32,0.0016145307769929364
girlish,lolita,9,23,32,0.0016145307769929364
fairy,street,14,17,31,0.0015640766902119071
conservative,dressy,15,15,30,0.0015136226034308778
dressy,natural,10,20,30,0.0015136226034308778
girlish,rock,10,20,30,0.0015136226034308778
lolita,mode,21,8,29,0.0014631685166498487
ethnic,lolita,13,15,28,0.0014127144298688194
conservative,rock,12,11,23,0.001160443995963673
dressy,fairy,7,12,19,0.000958627648839556
natural,street,9,9,18,0.0009081735620585267
feminine,street,10,8,18,0.0009081735620585267
feminine,mode,9,8,17,0.0008577194752774974
ethnic,fairy,11,5,16,0.0008072653884964682
dressy,street,7,6,13,0.0006559031281533804
dressy,kireime-casual,6,6,12,0.0006054490413723512
natural,rock,8,4,12,0.0006054490413723512
lolita,natural,6,5,11,0.0005549949545913218
dressy,rock,6,5,11,0.0005549949545913218
fairy,natural,4,5,9,0.0004540867810292634
conservative,lolita,3,6,9,0.0004540867810292634
fairy,rock,6,1,7,0.00035317860746720485
conservative,fairy,3,3,6,0.0003027245206861756
fairy,mode,3,1,4,0.00020181634712411706
feminine,rock,3,1,4,0.00020181634712411706
fairy,kireime-casual,0,2,2,0.00010090817356205853
kireime-casual,lolita,1,0,1,5.0454086781029264e-05
