seed,setting,mean_confidence,accuracy,n_samples
13,full,0.9008803819310893,0.82744702320888,1982
13,remove_text,0.2617306531257514,0.08022199798183653,1982
13,remove_image,0.36235733058089326,0.13824419778002017,1982
14,full,0.9102725853427388,0.8188698284561049,1982
14,remove_text,0.3408152492778934,0.07971745711402624,1982
14,remove_image,0.33505138980016097,0.15438950554994954,1982
16,full,0.9115186218702348,0.8254288597376388,1982
16,remove_text,0.32566297149020657,0.06508577194752775,1982
16,remove_image,0.43009994356440967,0.12865792129162462,1982
17,full,0.8943124240495482,0.830978809283552,1982
17,remove_text,0.38445224019761765,0.08022199798183653,1982
17,remove_image,0.362783045899856,0.14581231079717458,1982
45,full,0.9043648434515317,0.8264379414732593,1982
45,remove_text,0.2044585703765949,0.08022199798183653,1982
45,remove_image,0.2933518668837793,0.10696266397578204,1982
48,full,0.9036964255974343,0.8380423814328961,1982
48,remove_text,0.2681197818334841,0.08022199798183653,1982
48,remove_image,0.4048939321103659,0.07921291624621594,1982
53,full,0.8878261035780012,0.8350151362260343,1982
53,remove_text,0.5395376098264238,0.0681130171543895,1982
53,remove_image,0.3546692902254228,0.17658930373360243,1982
58,full,0.9023411876468437,0.8118062563067608,1982
58,remove_text,0.31696483288355,0.06104944500504541,1982
58,remove_image,0.7788678249635562,0.06508577194752775,1982
72,full,0.885677161133133,0.8264379414732593,1982
72,remove_text,0.27630249910830973,0.07265388496468214,1982
72,remove_image,0.2977826208643066,0.11907164480322906,1982
102,full,0.9098368923957004,0.8208879919273461,1982
102,remove_text,0.8132853303499347,0.08022199798183653,1982
102,remove_image,0.46387306426385816,0.19475277497477295,1982
