seed,class,n_samples,peak_token_pos,peak_weight
13,conservative,138,1,0.013771592669755868
13,dressy,134,10,0.04647223095096353
13,ethnic,129,1,0.037179499167891206
13,fairy,144,43,0.013937193538772085
13,feminine,121,1,0.022111195855396837
13,gal,143,16,0.013264600752113661
13,girlish,166,1,0.017209646738757075
13,kireime-casual,158,11,0.01746331755870576
13,lolita,159,1,0.023963373245191086
13,mode,159,17,0.02006863802891084
13,natural,129,1,0.042689493801372574
13,retro,127,1,0.02334197289237063
13,rock,121,9,0.02680936780162175
13,street,154,1,0.01579704188629108
14,conservative,138,9,0.017939894129454657
14,dressy,134,10,0.0312592948232204
14,ethnic,129,15,0.01432151856106641
14,fairy,143,4,0.013187839653688138
14,feminine,121,9,0.015390939267558116
14,gal,143,10,0.015560386269219005
14,girlish,166,16,0.01533839077455923
14,kireime-casual,158,9,0.021049248226529614
14,lolita,160,22,0.0147760864083466
14,mode,159,9,0.02597137474701681
14,natural,129,9,0.020211646160067515
14,retro,127,11,0.018155392099861202
14,rock,122,9,0.02535599813229771
14,street,153,15,0.01502884695689906
16,conservative,137,18,0.014498652985496243
16,dressy,135,4,0.024414336477207987
16,ethnic,129,4,0.020100346214567535
16,fairy,143,79,0.016991914554677082
16,feminine,121,45,0.013322678733278404
16,gal,143,14,0.015903422628916877
16,girlish,166,11,0.01505359055801205
16,kireime-casual,158,9,0.01793045087815469
16,lolita,159,13,0.015833549543595785
16,mode,159,16,0.021477499403829727
16,natural,129,20,0.01699502603286271
16,retro,127,1,0.014795216698269177
16,rock,122,9,0.02897889441436612
16,street,154,9,0.017047255965404805
17,conservative,138,15,0.01614336934838228
17,dressy,135,11,0.030891705866303742
17,ethnic,129,1,0.02678935588048699
17,fairy,143,9,0.02679944692893393
17,feminine,121,13,0.017601773112027114
17,gal,143,10,0.02191059552523848
17,girlish,166,19,0.014634617847665381
17,kireime-casual,158,16,0.018031787182516832
17,lolita,159,12,0.029405420889152482
17,mode,159,13,0.02075127983186101
17,natural,129,1,0.019503975897132195
17,retro,127,1,0.0183232755062911
17,rock,121,9,0.023879448619256498
17,street,154,10,0.023839919500649367
45,conservative,138,23,0.018497510547446007
45,dressy,134,1,0.04213646423669337
45,ethnic,129,1,0.01794315911554226
45,fairy,143,21,0.016071851536227793
45,feminine,121,26,0.014515966536815871
45,gal,143,14,0.01648930580741107
45,girlish,166,16,0.01644118866148259
45,kireime-casual,158,16,0.019128658360329346
45,lolita,160,1,0.020138159120688216
45,mode,159,18,0.021701172241317283
45,natural,129,17,0.016303220999340506
45,retro,127,18,0.01483401532264749
45,rock,121,9,0.029358150164234983
45,street,154,15,0.016434966025809006
48,conservative,138,16,0.013711208045698595
48,dressy,135,1,0.018218381461445932
48,ethnic,129,1,0.04706277880933164
48,fairy,143,9,0.018151850589401237
48,feminine,121,1,0.024564505562432542
48,gal,143,25,0.019437499244113688
48,girlish,166,9,0.015898905267394764
48,kireime-casual,158,12,0.015342222968753002
48,lolita,160,1,0.02216513272287557
48,mode,159,13,0.018505512321596296
48,natural,129,4,0.016178652649572075
48,retro,127,9,0.021703698603605017
48,rock,121,10,0.01983839117819424
48,street,153,1,0.01847181627180677
53,conservative,137,24,0.019629661342210687
53,dressy,135,11,0.03290591663357595
53,ethnic,129,25,0.013953745133214623
53,fairy,143,4,0.013972753344650764
53,feminine,121,10,0.015065970477524929
53,gal,143,10,0.018321899857967963
53,girlish,166,15,0.014830253063140056
53,kireime-casual,158,9,0.02384702998023374
53,lolita,160,4,0.022234364486939738
53,mode,159,17,0.022736126638995775
53,natural,129,17,0.021843488440061957
53,retro,127,15,0.01496118434574675
53,rock,121,9,0.027899156562687658
53,street,154,9,0.016579517297138302
58,conservative,138,15,0.01341752872120697
58,dressy,134,10,0.024616727694511106
58,ethnic,129,1,0.03144416219533183
58,fairy,143,1,0.020815903389292373
58,feminine,121,12,0.014022256564233483
58,gal,143,14,0.01579912543159232
58,girlish,166,20,0.012529633139787489
58,kireime-casual,158,25,0.015195207482445513
58,lolita,160,1,0.029898291938297916
58,mode,159,12,0.01854048187221377
58,natural,129,1,0.023317654660448085
58,retro,127,1,0.03257176696916851
58,rock,121,9,0.02374941208649981
58,street,154,16,0.02193566670682124
72,conservative,138,17,0.015355143228721252
72,dressy,134,11,0.03396448291788323
72,ethnic,129,4,0.026222307054513647
72,fairy,144,18,0.013179500851240138
72,feminine,121,10,0.03435094443665556
72,gal,143,12,0.01896326870484916
72,girlish,166,10,0.02139651593654024
72,kireime-casual,158,9,0.02026558630212646
72,lolita,160,10,0.018286828135751422
72,mode,159,17,0.01838370348083781
72,natural,129,4,0.015382566884549897
72,retro,127,9,0.014095640895286882
72,rock,121,9,0.023258276173098336
72,street,153,4,0.019033415173028225
102,conservative,138,1,0.017770805433257552
102,dressy,134,11,0.04812017838955412
102,ethnic,129,1,0.016404676655408484
102,fairy,144,10,0.01650021067810788
102,feminine,121,1,0.01972889481497205
102,gal,143,1,0.014394133094489782
102,girlish,166,1,0.016755538094923438
102,kireime-casual,158,23,0.013944706010125294
102,lolita,160,12,0.03013603301078547
102,mode,159,9,0.014396881131139004
102,natural,129,1,0.019729541513577913
102,retro,127,1,0.01565607940946801
102,rock,121,9,0.021049877194291335
102,street,153,10,0.01658291926663034
